id,source,videoId,seedQuery,title,channelTitle,durationMin,category,intensity,url,ingestedAt
youtube_u0vYWzcAeKE,youtube,u0vYWzcAeKE,forest night sounds sleep,"Forest Night Sounds , Sleep Ambience",Acerting Art - Topic,20,nature,0.12,https://www.youtube.com/watch?v=u0vYWzcAeKE,2026-02-09T21:44:24.865836+00:00
youtube_dIdkB9h2s7M,youtube,dIdkB9h2s7M,fireplace crackling sleep,Fireplace Sounds with Crackling & Hissing: One Hour (Loopable),Stardust Vibes - Topic,60,nature,0.3,https://www.youtube.com/watch?v=dIdkB9h2s7M,2026-02-09T21:44:25.135663+00:00
youtube_PLowvaeaz7w,youtube,PLowvaeaz7w,pink noise sleep,Pink Noise for Sleep | 30 Minutes Dark Background | by AcousticSheep LLC,SleepPhones,31,noise,0.12,https://www.youtube.com/watch?v=PLowvaeaz7w,2026-02-09T21:44:25.777969+00:00
youtube_BqGoN40VPhE,youtube,BqGoN40VPhE,pink noise sleep,Pink Noise for Baby Sleep (1 Hour),Chill Machine - Topic,60,noise,0.18,https://www.youtube.com/watch?v=BqGoN40VPhE,2026-02-09T21:44:25.778033+00:00
youtube_sPielvF_bEc,youtube,sPielvF_bEc,pink noise sleep,Pink Noise 250 Hertz - One Hour (Loopable with No Fade),Best Noise - Topic,60,noise,0.18,https://www.youtube.com/watch?v=sPielvF_bEc,2026-02-09T21:44:25.778069+00:00
youtube_32q9rlK1q3s,youtube,32q9rlK1q3s,guided sleep meditation 10 minutes,Sleep in Ten Minutes (Guided Meditation),Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=32q9rlK1q3s,2026-02-09T21:44:25.778169+00:00
youtube_LWGSwfchz_A,youtube,LWGSwfchz_A,guided sleep meditation 10 minutes,10-Minute Guided Sleep Meditation | SELF,SELF,10,meditation,0.12,https://www.youtube.com/watch?v=LWGSwfchz_A,2026-02-09T21:44:25.778204+00:00
youtube_GXxweu9UgBI,youtube,GXxweu9UgBI,guided sleep meditation 10 minutes,Guided Sleep Meditation 10 Minutes Before You Sleep,Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=GXxweu9UgBI,2026-02-09T21:44:25.778224+00:00
youtube_aZoZguD_UwE,youtube,aZoZguD_UwE,guided sleep meditation 10 minutes,10 Minute Guided Sleep Meditation (female voice),Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=aZoZguD_UwE,2026-02-09T21:44:25.778246+00:00
youtube_aEqlQvczMJQ,youtube,aEqlQvczMJQ,guided sleep meditation 10 minutes,10-Minute Meditation For Sleep | Goodful,Goodful,11,meditation,0.52,https://www.youtube.com/watch?v=aEqlQvczMJQ,2026-02-09T21:44:25.778277+00:00
youtube_yGkbufhm5lw,youtube,yGkbufhm5lw,guided sleep meditation 10 minutes,10 Minutes Before Sleep (Guided Meditation),Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=yGkbufhm5lw,2026-02-09T21:44:25.778308+00:00
youtube_bG3AcN-XOrw,youtube,bG3AcN-XOrw,guided sleep meditation 10 minutes,10 Min Guided Meditation For Sleep & Relaxation | Fall Asleep Fast With Soothing Rain Sounds,Boho Beautiful Yoga,13,meditation,0.12,https://www.youtube.com/watch?v=bG3AcN-XOrw,2026-02-09T21:44:25.778385+00:00
youtube_GM2nK-n5Sn8,youtube,GM2nK-n5Sn8,guided sleep meditation 10 minutes,10 Minute Sleep Meditation ❤️ Fall Asleep Fast,Jessica Heslop - Manifest by Jess,11,meditation,0.12,https://www.youtube.com/watch?v=GM2nK-n5Sn8,2026-02-09T21:44:25.959477+00:00
youtube_ZgPHetPG4MY,youtube,ZgPHetPG4MY,guided sleep meditation 10 minutes,10 Minute Meditation for Before You Sleep,Great Meditation,10,meditation,0.12,https://www.youtube.com/watch?v=ZgPHetPG4MY,2026-02-09T21:44:25.959519+00:00
youtube_HMOfD3VSbQ4,youtube,HMOfD3VSbQ4,guided sleep meditation 10 minutes,10 Minute Sleep Meditation A Guided Talk Down Body Scan,Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=HMOfD3VSbQ4,2026-02-09T21:44:25.959545+00:00
youtube_vZNUswv5Fng,youtube,vZNUswv5Fng,guided sleep meditation 10 minutes,"Fall Asleep in Under 10 Minutes - Guided sleep, Insomnia",The Honest Guys - Meditations - Relaxation,11,meditation,0.12,https://www.youtube.com/watch?v=vZNUswv5Fng,2026-02-09T21:44:25.959598+00:00
youtube_VHDf8c5vJLg,youtube,VHDf8c5vJLg,guided sleep meditation 10 minutes,10 Minute Sleep Meditation with Positive Messages,Great Meditation,12,meditation,0.12,https://www.youtube.com/watch?v=VHDf8c5vJLg,2026-02-09T21:44:25.959622+00:00
youtube_G1TD2uVdotM,youtube,G1TD2uVdotM,guided sleep meditation 10 minutes,Short Guided Meditation: Release All Negative Energy & Worries By Jason Stephenson (10 minutes),Jason Stephenson - Guided Sleep Meditation ,11,meditation,0.12,https://www.youtube.com/watch?v=G1TD2uVdotM,2026-02-09T21:44:25.959693+00:00
youtube_r8urDUqqot8,youtube,r8urDUqqot8,guided sleep meditation 10 minutes,Fall Asleep in 10 Minutes Guided Meditation,Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=r8urDUqqot8,2026-02-09T21:44:25.959718+00:00
youtube_W4ujD0NI0m8,youtube,W4ujD0NI0m8,guided sleep meditation 10 minutes,A Healing Sleep Guided Meditation,Great Meditation,12,meditation,0.12,https://www.youtube.com/watch?v=W4ujD0NI0m8,2026-02-09T21:44:25.959738+00:00
youtube_b1hShI4wzhA,youtube,b1hShI4wzhA,guided sleep meditation 10 minutes,Sleep in Just 10 Minutes ~ Guided Meditation for Better Sleep,Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=b1hShI4wzhA,2026-02-09T21:44:25.959757+00:00
youtube_YdDv_0kwsb8,youtube,YdDv_0kwsb8,guided sleep meditation 10 minutes,10 Minute Sleep Meditation,Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=YdDv_0kwsb8,2026-02-09T21:44:25.959780+00:00
youtube_yU4LxOcY5w8,youtube,yU4LxOcY5w8,guided sleep meditation 10 minutes,"Sleep Meditation, A Time For Rest and Healing",Great Meditation,12,meditation,0.12,https://www.youtube.com/watch?v=yU4LxOcY5w8,2026-02-09T21:44:25.959813+00:00
youtube_49SKdW0w4KM,youtube,49SKdW0w4KM,guided sleep meditation 10 minutes,Fall Asleep in Under 10 Minutes (Sleep Meditation Talk-Down),The Honest Guys - Meditations - Relaxation,12,meditation,0.12,https://www.youtube.com/watch?v=49SKdW0w4KM,2026-02-09T21:44:25.959871+00:00
youtube_WnUlGlUGV7E,youtube,WnUlGlUGV7E,guided sleep meditation 10 minutes,Short Sleep Meditation: Fall Deeply Asleep in 10 Minutes,My Peace Of Mindfulness (Guided Meditation),12,meditation,0.12,https://www.youtube.com/watch?v=WnUlGlUGV7E,2026-02-09T21:44:25.959997+00:00
youtube_mcirj0OmRHE,youtube,mcirj0OmRHE,guided sleep meditation 10 minutes,Sleep... 10 Minute  Guided Meditation,Great Meditation,12,meditation,0.12,https://www.youtube.com/watch?v=mcirj0OmRHE,2026-02-09T21:44:25.960016+00:00
youtube_9MDSem8xQ-8,youtube,9MDSem8xQ-8,guided sleep meditation 10 minutes,Female Voice Guided Sleep Meditation 10 Minutes into a Deep Restful Sleep,Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=9MDSem8xQ-8,2026-02-09T21:44:25.960046+00:00
youtube_16rLKV9HZ2c,youtube,16rLKV9HZ2c,guided sleep meditation 10 minutes,10 Minute Guided Meditation for Sleep,Guided Meditation - Topic,10,meditation,0.12,https://www.youtube.com/watch?v=16rLKV9HZ2c,2026-02-09T21:44:25.960070+00:00
youtube_rCEzIvrrHA4,youtube,rCEzIvrrHA4,guided sleep meditation 10 minutes,"Sleep Meditation, Drifting Away in Just Ten Minutes",Great Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=rCEzIvrrHA4,2026-02-09T21:44:25.960088+00:00
youtube_YqZJRKLgguo,youtube,YqZJRKLgguo,guided sleep meditation 10 minutes,10 Min Insomnia Meditation To Fall Asleep FAST | End Your Day Perfectly,Boho Beautiful Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=YqZJRKLgguo,2026-02-09T21:44:25.960144+00:00
youtube_kPtVGqaMJAk,youtube,kPtVGqaMJAk,body scan sleep meditation,Guided Body Scan Meditation for Sleep,Declutter The Mind,31,meditation,0.12,https://www.youtube.com/watch?v=kPtVGqaMJAk,2026-02-09T21:44:25.960188+00:00
youtube_zegbbANEJgY,youtube,zegbbANEJgY,body scan sleep meditation,Release All Tension and Sleep Peacefully By The Sea 💤Body Scan Guided Meditation For Sleep,Generation Calm,32,meditation,0.52,https://www.youtube.com/watch?v=zegbbANEJgY,2026-02-09T21:44:25.960284+00:00
youtube_QYl4rF2PA7A,youtube,QYl4rF2PA7A,body scan sleep meditation,"Deep Sleep Guided Meditation, Body Scan to Ease Tension Release Negativity (with Rainfall)",Jason Stephenson - Guided Sleep Meditation ,39,meditation,0.12,https://www.youtube.com/watch?v=QYl4rF2PA7A,2026-02-09T21:44:25.960341+00:00
youtube_rkp8R-HlTYk,youtube,rkp8R-HlTYk,body scan sleep meditation,Guided meditation Body scan for sleep and deep relaxation,Meditation Vacation,39,meditation,0.12,https://www.youtube.com/watch?v=rkp8R-HlTYk,2026-02-09T21:44:25.960388+00:00
youtube_5QwvVQNNn74,youtube,5QwvVQNNn74,body scan sleep meditation,"Guided Meditation for Sleep, Body Scan Relaxation, The Peace Filled Thunderstorm",Meditation Vacation,43,meditation,0.12,https://www.youtube.com/watch?v=5QwvVQNNn74,2026-02-09T21:44:25.960423+00:00
youtube_n4F55PPwC-U,youtube,n4F55PPwC-U,body scan sleep meditation,Guided Meditation for Sleep - Body Scan,One Mind Dharma,17,meditation,0.12,https://www.youtube.com/watch?v=n4F55PPwC-U,2026-02-09T21:44:25.960463+00:00
youtube_hgT5eAQX88Y,youtube,hgT5eAQX88Y,body scan sleep meditation,"20 Minute Guided Meditation Body Scan 🌕 ( Relaxation, Anxiety, Stress, Insomnia, Sleep )",Yoga With Bird,23,meditation,0.12,https://www.youtube.com/watch?v=hgT5eAQX88Y,2026-02-09T21:44:25.960588+00:00
youtube_oKAu2hfkA7Y,youtube,oKAu2hfkA7Y,body scan sleep meditation,"Guided Sleep Meditation | Body Scan, Relaxing Visualization & Binaural Beats",Paradigm Yoga,60,meditation,0.12,https://www.youtube.com/watch?v=oKAu2hfkA7Y,2026-02-09T21:44:25.960659+00:00
youtube_u4gZgnCy5ew,youtube,u4gZgnCy5ew,body scan sleep meditation,Jon Kabat Zinn   Body Scan Meditation   GUIDED MEDITATION,People in Pain Network,46,meditation,0.24,https://www.youtube.com/watch?v=u4gZgnCy5ew,2026-02-09T21:44:25.960676+00:00
youtube_T5QoAXGSl_k,youtube,T5QoAXGSl_k,body scan sleep meditation,Guided Body Scan Meditation for Sleep and Relaxation | Dana-Farber Zakim Center Remote Programming,Dana-Farber Cancer Institute,17,meditation,0.12,https://www.youtube.com/watch?v=T5QoAXGSl_k,2026-02-09T21:44:25.960717+00:00
youtube_MjAIgseGY6A,youtube,MjAIgseGY6A,body scan sleep meditation,Body Scan with Soothing Singing Bowls for Sleep and Deep Rest,Caroline McCready,38,meditation,0.12,https://www.youtube.com/watch?v=MjAIgseGY6A,2026-02-09T21:44:25.960823+00:00
youtube_NUPmQTKu134,youtube,NUPmQTKu134,body scan sleep meditation,Enjoy 20 Minutes of Body Scan Guided Meditation for Total Relaxation,Generation Calm,31,meditation,0.52,https://www.youtube.com/watch?v=NUPmQTKu134,2026-02-09T21:44:25.960920+00:00
youtube_4wEDoKm40Yc,youtube,4wEDoKm40Yc,breathing exercise for sleep,Equal Breathing Exercise for Sleep,Fitbit,20,meditation,0.12,https://www.youtube.com/watch?v=4wEDoKm40Yc,2026-02-09T21:44:25.960947+00:00
youtube_j-1n3KJR1I8,youtube,j-1n3KJR1I8,breathing exercise for sleep,Breathing Exercises to Relax or Fall Asleep Fast | 478 Mindfulness Breathing | TAKE A DEEP BREATH,Mike Maher | TAKE A DEEP BREATH,6,meditation,0.12,https://www.youtube.com/watch?v=j-1n3KJR1I8,2026-02-09T21:44:25.961009+00:00
youtube_bvteZtPrE90,youtube,bvteZtPrE90,breathing exercise for sleep,Breathwork for Deep and Restful Sleep - Simple Breathing Exercise to Help You Relax,Kirsten McCormick,11,meditation,0.12,https://www.youtube.com/watch?v=bvteZtPrE90,2026-02-09T21:44:25.961036+00:00
youtube_1G2he0jYOl0,youtube,1G2he0jYOl0,breathing exercise for sleep,Breathing Into Sleep - Fall Asleep Fast,Ally Boothroyd | Sarovara Yoga,31,meditation,0.12,https://www.youtube.com/watch?v=1G2he0jYOl0,2026-02-09T21:44:25.961082+00:00
youtube_qfKAipubsjY,youtube,qfKAipubsjY,breathing exercise for sleep,Guided Breathing Exercise for Better Sleep,Dr. Ramdesh - Topic,14,meditation,0.12,https://www.youtube.com/watch?v=qfKAipubsjY,2026-02-09T21:44:25.961114+00:00
youtube_qV3hccsqqKM,youtube,qV3hccsqqKM,breathing exercise for sleep,Fall Asleep Faster with the 4-7-8 Breathing Technique,AskDoctorJo,4,meditation,0.12,https://www.youtube.com/watch?v=qV3hccsqqKM,2026-02-09T21:44:25.961204+00:00
youtube_jWXkDny18to,youtube,jWXkDny18to,breathing exercise for sleep,Breathing Routine To Help Fall Asleep I 1 Minute Breath Holds,Breathe With Sandy,17,meditation,0.12,https://www.youtube.com/watch?v=jWXkDny18to,2026-02-09T21:44:26.232459+00:00
youtube_0BNejY1e9ik,youtube,0BNejY1e9ik,breathing exercise for sleep,Wim Hof Method Guided Breathing for Beginners (3 Rounds Slow Pace),Wim Hof,11,meditation,0.24,https://www.youtube.com/watch?v=0BNejY1e9ik,2026-02-09T21:44:26.232524+00:00
youtube_PlK90dL2J9E,youtube,PlK90dL2J9E,breathing exercise for sleep,A Simple Breathing Exercise to Help You Sleep Easier,Oxygen Advantage®,3,meditation,0.12,https://www.youtube.com/watch?v=PlK90dL2J9E,2026-02-09T21:44:26.232554+00:00
youtube_IumIKwyx8pg,youtube,IumIKwyx8pg,breathing exercise for sleep,4-7-8 Calm Breathing Exercise I 5 Minute Guided Breathwork to Relax or Fall Asleep Fast,Breathe With Sandy,6,meditation,0.12,https://www.youtube.com/watch?v=IumIKwyx8pg,2026-02-09T21:44:26.232597+00:00
youtube_LiUnFJ8P4gM,youtube,LiUnFJ8P4gM,breathing exercise for sleep,4-7-8 Calm Breathing Exercise | 10 Minutes of Deep Relaxation | Anxiety Relief | Pranayama Exercise,Hands-On Meditation,11,meditation,0.12,https://www.youtube.com/watch?v=LiUnFJ8P4gM,2026-02-09T21:44:26.232642+00:00
youtube_7Ep5mKuRmAA,youtube,7Ep5mKuRmAA,breathing exercise for sleep,Belly breathing exercise: Calming the body and mind,Indiana University School of Medicine,9,meditation,0.24,https://www.youtube.com/watch?v=7Ep5mKuRmAA,2026-02-09T21:44:26.232660+00:00
youtube_7tEaid0w19U,youtube,7tEaid0w19U,breathing exercise for sleep,I Tried One Breathing Exercise and Slept Better Instantly!,"Dylan Petkus, MD, MPH, MS | Not Licensed by Choice",2,meditation,0.12,https://www.youtube.com/watch?v=7tEaid0w19U,2026-02-09T21:44:26.232679+00:00
youtube_l3U-kRy-pgk,youtube,l3U-kRy-pgk,breathing exercise for sleep,Shortest Way to Reset Your Breathing for Sleep Apnea,"Dylan Petkus, MD, MPH, MS | Not Licensed by Choice",2,meditation,0.12,https://www.youtube.com/watch?v=l3U-kRy-pgk,2026-02-09T21:44:26.232690+00:00
youtube_8qOMTqedPrk,youtube,8qOMTqedPrk,breathing exercise for sleep,3 breathing exercises for better health with James Nestor | BBC Maestro,BBC Maestro,14,meditation,0.12,https://www.youtube.com/watch?v=8qOMTqedPrk,2026-02-09T21:44:26.232703+00:00
youtube_lEzaFx8k7Ew,youtube,lEzaFx8k7Ew,breathing exercise for sleep,4-7-8 Calm Breathing Exercise | 15 Minutes of Deep Relaxation | Anxiety Relief | Pranayama Exercise,Hands-On Meditation,16,meditation,0.12,https://www.youtube.com/watch?v=lEzaFx8k7Ew,2026-02-09T21:44:26.232743+00:00
youtube_7C2RqyKdn7k,youtube,7C2RqyKdn7k,breathing exercise for sleep,10-Minute Breathing Exercises for DEEP SLEEP | Pranayama Yoga | Saurabh Bothra Yoga,Saurabh Bothra,11,meditation,0.12,https://www.youtube.com/watch?v=7C2RqyKdn7k,2026-02-09T21:44:26.232791+00:00
youtube_2K4T9HmEhWE,youtube,2K4T9HmEhWE,5 minute sleep meditation,5 Minute Meditation Before Sleep,Great Meditation,6,meditation,0.12,https://www.youtube.com/watch?v=2K4T9HmEhWE,2026-02-09T21:44:26.232801+00:00
youtube_HlPZCqyIwV8,youtube,HlPZCqyIwV8,5 minute sleep meditation,Listen to this 5 Minute Meditation Before You Sleep,Great Meditation,7,meditation,0.12,https://www.youtube.com/watch?v=HlPZCqyIwV8,2026-02-09T21:44:26.232808+00:00
youtube_hNXq7zVrJU8,youtube,hNXq7zVrJU8,5 minute sleep meditation,5 minute meditation for sleep,Great Meditation,6,meditation,0.12,https://www.youtube.com/watch?v=hNXq7zVrJU8,2026-02-09T21:44:26.232818+00:00
youtube_ciOInp7Ymps,youtube,ciOInp7Ymps,5 minute sleep meditation,5 minute sleep meditation for a perfect nights sleep,5 Minutes by Great Meditation,6,meditation,0.12,https://www.youtube.com/watch?v=ciOInp7Ymps,2026-02-09T21:44:26.232831+00:00
youtube_XzZ2Mo92iec,youtube,XzZ2Mo92iec,5 minute sleep meditation,5 min Guided Bedtime Meditation for Sleep,SarahBethYoga,6,meditation,0.12,https://www.youtube.com/watch?v=XzZ2Mo92iec,2026-02-09T21:44:26.232872+00:00
youtube_1thzx1kzvgc,youtube,1thzx1kzvgc,5 minute sleep meditation,"5 Minute SLEEP Meditation Guided for a Deep, Restful Sleep",Bob Baker Affirmations,6,meditation,0.12,https://www.youtube.com/watch?v=1thzx1kzvgc,2026-02-09T21:44:26.232914+00:00
